# x y yaw  (sim corridor centerline; robot starts at (0,0) heading +x)
0.000 0.000 0.0000
0.300 0.000 0.0000
0.600 0.000 0.0000
0.900 0.000 0.0000
1.200 0.000 0.0000
1.500 0.000 0.0000
1.800 0.000 0.0000
2.100 0.000 0.0000
2.400 0.000 0.0000
2.700 0.000 0.0000
3.000 0.000 0.0000
3.300 0.000 0.0000
3.600 0.000 0.0000
3.900 0.000 0.0000
4.200 0.000 0.0000
4.500 0.000 0.0000
4.800 0.000 0.0000
5.100 0.000 0.0000
5.400 0.000 0.0000
5.700 0.000 0.0000
6.000 0.000 0.0000
6.300 0.000 0.0000
6.600 0.000 0.0000
6.900 0.000 0.0000
7.200 0.000 0.0000
7.500 0.000 0.0000
7.800 0.000 0.0000
8.100 0.000 0.0000
8.400 0.000 0.0000
8.700 0.000 0.0000
9.000 0.000 0.0000
9.300 0.000 0.0000
9.600 0.000 0.0000
9.900 0.000 0.0000
10.200 0.000 0.0000
10.500 0.000 0.0000
10.800 0.000 0.0000
11.100 0.000 0.0000
11.400 0.000 0.0000
11.700 0.000 0.0000
12.000 0.000 1.5708
12.000 0.308 1.5708
12.000 0.615 1.5708
12.000 0.923 1.5708
12.000 1.231 1.5708
12.000 1.538 1.5708
12.000 1.846 1.5708
12.000 2.154 1.5708
12.000 2.462 1.5708
12.000 2.769 1.5708
12.000 3.077 1.5708
12.000 3.385 1.5708
12.000 3.692 1.5708
12.000 4.000 1.5708
12.000 4.308 1.5708
12.000 4.615 1.5708
12.000 4.923 1.5708
12.000 5.231 1.5708
12.000 5.538 1.5708
12.000 5.846 1.5708
12.000 6.154 1.5708
12.000 6.462 1.5708
12.000 6.769 1.5708
12.000 7.077 1.5708
12.000 7.385 1.5708
12.000 7.692 1.5708
12.000 8.000 3.1416
11.700 8.000 3.1416
11.400 8.000 3.1416
11.100 8.000 3.1416
10.800 8.000 3.1416
10.500 8.000 3.1416
10.200 8.000 3.1416
9.900 8.000 3.1416
9.600 8.000 3.1416
9.300 8.000 3.1416
9.000 8.000 3.1416
8.700 8.000 3.1416
8.400 8.000 3.1416
8.100 8.000 3.1416
7.800 8.000 3.1416
7.500 8.000 3.1416
7.200 8.000 3.1416
6.900 8.000 3.1416
6.600 8.000 3.1416
6.300 8.000 3.1416
6.000 8.000 3.1416
5.700 8.000 3.1416
5.400 8.000 3.1416
5.100 8.000 3.1416
4.800 8.000 3.1416
4.500 8.000 3.1416
4.200 8.000 3.1416
3.900 8.000 3.1416
3.600 8.000 3.1416
3.300 8.000 3.1416
3.000 8.000 3.1416
2.700 8.000 3.1416
2.400 8.000 3.1416
2.100 8.000 3.1416
1.800 8.000 3.1416
1.500 8.000 3.1416
1.200 8.000 3.1416
0.900 8.000 3.1416
0.600 8.000 3.1416
0.300 8.000 3.1416
0.000 8.000 -1.5708
0.000 7.692 -1.5708
0.000 7.385 -1.5708
0.000 7.077 -1.5708
0.000 6.769 -1.5708
0.000 6.462 -1.5708
0.000 6.154 -1.5708
0.000 5.846 -1.5708
0.000 5.538 -1.5708
0.000 5.231 -1.5708
0.000 4.923 -1.5708
0.000 4.615 -1.5708
0.000 4.308 -1.5708
0.000 4.000 -1.5708
0.000 3.692 -1.5708
0.000 3.385 -1.5708
0.000 3.077 -1.5708
0.000 2.769 -1.5708
0.000 2.462 -1.5708
0.000 2.154 -1.5708
0.000 1.846 -1.5708
0.000 1.538 -1.5708
0.000 1.231 -1.5708
0.000 0.923 -1.5708
0.000 0.615 -1.5708
0.000 0.308 -1.5708
